   1.59063685     -0.918354571     -0.649374723    
   3.20456660E-12   1.83670914     -0.649374723    
   3.20460217E-12   3.20456812E-12   1.94812429    
           1          50           1
  0.142857149      0.142857149       0.00000000    
              (-16.176684529141433,0.0000000000000000)   1.0000000000000000     
    -2    -4     0  (   0.368511E-03 ,  -0.101691E-02 )
    -1    -4     0  (   0.164739E-02 ,  -0.201411E-02 )
     0    -3     0  (   0.145614E-01 ,  -0.166532E-01 )
     1    -3     0  (   0.672939E-02 ,  -0.749104E-02 )
     2    -3     0  (   0.417163E-03 ,  -0.472440E-03 )
     3    -3     0  (  -0.274220E-03 ,   0.301147E-03 )
     4    -3     0  (   0.605265E-04 ,  -0.676742E-04 )
    -6    -3     0  (   0.689999E-05 ,  -0.910671E-05 )
    -5    -3     0  (   0.154508E-05 ,   0.824890E-04 )
    -4    -3     0  (  -0.102161E-03 ,  -0.161591E-04 )
    -3    -3     0  (  -0.848495E-03 ,  -0.738631E-03 )
    -2    -3     0  (   0.942148E-03 ,  -0.376192E-02 )
    -1    -3     0  (   0.102572E-01 ,  -0.125711E-01 )
     0    -2     0  (   0.519666E-01 ,  -0.613711E-01 )
     1    -2     0  (   0.394995E-01 ,  -0.434947E-01 )
     2    -2     0  (   0.105348E-01 ,  -0.114346E-01 )
     3    -2     0  (   0.258238E-03 ,  -0.265619E-03 )
     4    -2     0  (  -0.173335E-03 ,   0.184460E-03 )
     5    -2     0  (   0.615375E-04 ,  -0.615477E-04 )
    -6    -2     0  (   0.570131E-05 ,  -0.543266E-05 )
    -5    -2     0  (  -0.113679E-03 ,   0.156395E-03 )
    -4    -2     0  (   0.368511E-03 ,  -0.101690E-02 )
    -3    -2     0  (   0.942148E-03 ,  -0.376192E-02 )
    -2    -2     0  (  -0.268707E-02 ,  -0.233939E-02 )
    -1    -2     0  (   0.111661E-01 ,  -0.204737E-01 )
     0    -1     0  (   0.721621E-01 ,  -0.816669E-01 )
     1    -1     0  (   0.890633E-01 ,  -0.959606E-01 )
     2    -1     0  (   0.340884E-01 ,  -0.366333E-01 )
     3    -1     0  (   0.478056E-02 ,  -0.515922E-02 )
     4    -1     0  (  -0.314848E-03 ,   0.311386E-03 )
     5    -1     0  (   0.917534E-05 ,  -0.552054E-05 )
    -6    -1     0  (   0.188270E-04 ,  -0.295323E-04 )
    -5    -1     0  (  -0.184169E-03 ,   0.190219E-03 )
    -4    -1     0  (   0.164739E-02 ,  -0.201411E-02 )
    -3    -1     0  (   0.102572E-01 ,  -0.125711E-01 )
    -2    -1     0  (   0.111661E-01 ,  -0.204737E-01 )
    -1    -1     0  (  -0.153744E-01 ,  -0.133830E-01 )
     0     0     1  (  -0.709353E-01 ,   0.827343E-01 )
     1     0     1  (   0.198252E-02 ,   0.172624E-02 )
     2     0     1  (   0.356930E-01 ,  -0.392436E-01 )
     3     0     1  (   0.135076E-01 ,  -0.153323E-01 )
     4     0     1  (   0.120091E-02 ,  -0.134031E-02 )
     5     0     1  (  -0.210166E-03 ,   0.236486E-03 )
     6     0     1  (   0.495881E-04 ,  -0.497711E-04 )
    -6     0     1  (   0.212162E-04 ,  -0.225899E-04 )
    -5     0     1  (  -0.299739E-04 ,   0.431765E-04 )
    -4     0     1  (  -0.113640E-03 ,   0.142848E-03 )
    -3     0     1  (   0.373359E-02 ,  -0.474423E-02 )
    -2     0     1  (   0.152989E-01 ,  -0.181255E-01 )
    -1     0     1  (   0.247547E-02 ,   0.215385E-02 )
     0     1     1  (   0.198252E-02 ,   0.172624E-02 )
     1     1     1  (  -0.523689E-01 ,   0.601587E-01 )
     2     1     1  (  -0.380421E-02 ,  -0.331086E-02 )
     3     1     1  (   0.907755E-02 ,  -0.116620E-01 )
     4     1     1  (   0.200069E-02 ,  -0.216665E-02 )
     5     1     1  (  -0.189384E-03 ,   0.210118E-03 )
     6     1     1  (   0.105635E-04 ,  -0.830934E-05 )
    -5     1     1  (   0.328027E-04 ,  -0.439495E-04 )
    -4     1     1  (  -0.270862E-03 ,   0.287385E-03 )
    -3     1     1  (   0.230005E-02 ,  -0.253277E-02 )
    -2     1     1  (   0.190880E-01 ,  -0.205001E-01 )
    -1     1     1  (   0.442952E-01 ,  -0.457312E-01 )
     0     2     1  (   0.356930E-01 ,  -0.392436E-01 )
     1     2     1  (  -0.380421E-02 ,  -0.331087E-02 )
     2     2     1  (  -0.117451E-01 ,   0.688033E-02 )
     3     2     1  (  -0.795591E-03 ,  -0.692510E-03 )
     4     2     1  (   0.431515E-03 ,  -0.880207E-03 )
     5     2     1  (  -0.103112E-03 ,   0.729841E-04 )
     6     2     1  (  -0.978459E-05 ,   0.844654E-05 )
     7     2     1  (   0.117334E-04 ,  -0.183234E-04 )
    -5     2     1  (   0.480112E-04 ,  -0.510480E-04 )
    -4     2     1  (  -0.862946E-04 ,   0.996932E-04 )
    -3     2     1  (  -0.408856E-04 ,   0.100847E-03 )
    -2     2     1  (   0.689369E-02 ,  -0.732240E-02 )
    -1     2     1  (   0.282762E-01 ,  -0.300933E-01 )
